id,name,isdone,spotifyid
698756,Charli XCX,True,25uiPmTg16RbhZWAqwLBy5
991,Bee Gees,True,1LZEQNv7sE11VDY3SdxQeN
1252793,Ninho,True,6Te49r3A6f5BiIgBRxH7FH
1473115,Dean Lewis,True,3QSQFmccmX81fWCUSPTS7y
822,The Police,True,5NGO30tJxFlKixkPSgXcFE
962,Marvin Gaye,True,3koiLjNrgRTNbOwViDipeA
795784,Birdy,True,2WX2uTcsvV5OnS0inACecP
1227339,ILLENIUM,True,45eNHdiiabvmbp4erw26rg
595413,Boyce Avenue,True,7CQwac16i1W5ej8YpuL3dv
1179459,Lost Frequencies,True,7f5Zgnp2spUuuzKplmRkt7
1947,Skillet,True,49bzE5vRBRIota4qeHtQM8
1689884,Danny Ocean,True,5H1nN1SzW0qNeUEZvuXjAj
10042,Iron Maiden,True,6mdiAmATAx73kdxrNrnlao
968752,Lil Durk,True,3hcs9uc56yIGFCSy9leWe7
1460651,Jack Harlow,True,2LIk90788K0zvyj2JJVwkJ
21916,Tim McGraw,True,6roFdX1y5BYSbp60OTJWMd
51876,Rise Against,True,6Wr3hh341P84m3EI8qdn9O
1317804,Maren Morris,True,6WY7D3jk8zTrHtmkqqo5GI
94,John Williams,True,3dRfiJ2650SZu6GbydcHNb
838293,A$AP Ferg,True,5dHt1vcEm9qb8fCyLcB3HL
44318,T.I.,True,4OBJLual30L7gRl5UkeRcT
608462,Carly Rae Jepsen,True,6sFIWsNpZYqfjUpaCgueju
928797,Bradley Cooper,True,4VIvfOurcf0vuLRxLkGnIG
48426,Juanes,True,0UWZUmn7sybxMCqrw9tGa7
1757,The Doors,True,22WZ7M8sxp5THdruNY3gXt
